frame,ID,x,y
2,597,428,1
3,60,418,1
4,328,362,1
5,392,338,1
6,579,328,1
7,496,301,1
8,83,294,1
9,102,266,1
10,156,237,1
11,592,237,1
12,18,207,1
13,481,185,1
14,435,170,1
15,294,156,1
16,15,148,1
17,313,129,1
18,215,115,1
19,380,104,1
20,116,99,1
21,370,74,1
22,504,70,1
23,50,56,1
24,82,42,1
25,507,38,1
26,460,13,1
0,584,463,1
1,605,446,1
2,597,428,1
3,62,420,1
4,327,365,1
5,398,342,1
6,579,328,1
7,500,300,1
8,82,295,1
9,101,265,1
10,157,231,1
11,592,237,1
12,21,205,1
13,482,185,1
14,439,172,1
15,296,158,1
16,14,148,1
17,308,129,1
18,209,118,1
19,383,104,1
20,117,100,1
21,480,92,1
22,370,75,1
23,501,70,1
24,82,42,1
25,501,37,1
26,623,29,1
27,458,12,1
0,584,462,1
1,606,446,1
2,597,428,1
3,326,367,1
4,402,345,1
5,579,330,1
6,509,306,1
7,81,295,1
8,491,294,1
9,101,263,1
10,159,226,1
11,592,237,1
12,24,203,1
13,482,185,1
14,444,173,1
15,296,160,1
16,13,148,1
17,303,128,1
18,205,119,1
19,387,102,1
20,118,100,1
21,480,92,1
22,370,75,1
23,499,69,1
24,82,42,1
25,497,36,1
26,622,30,1
27,455,12,1
0,584,463,1
1,597,428,1
2,326,369,1
3,406,347,1
4,579,328,1
5,514,307,1
6,81,295,1
7,488,294,1
8,99,259,1
9,159,222,1
10,592,236,1
11,27,201,1
12,482,186,1
13,447,176,1
14,297,163,1
15,13,148,1
16,299,128,1
17,199,121,1
18,391,100,1
19,118,101,1
20,481,93,1
21,370,74,1
22,494,69,1
23,548,51,1
24,83,42,1
25,493,36,1
26,623,29,1
27,452,11,1
0,584,462,1
1,605,446,1
2,597,428,1
3,66,424,1
4,325,372,1
5,409,350,1
6,579,330,1
7,519,307,1
8,80,296,1
9,486,293,1
10,98,256,1
11,592,236,1
12,161,218,1
13,30,198,1
14,482,188,1
15,451,178,1
16,298,166,1
17,12,149,1
18,295,127,1
19,194,123,1
20,395,99,1
21,119,102,1
22,482,93,1
23,370,73,1
24,493,69,1
25,83,42,1
26,489,36,1
27,448,9,1
0,584,463,1
1,605,446,1
2,597,428,1
3,69,424,1
4,414,353,1
5,579,328,1
6,525,308,1
7,80,297,1
8,482,291,1
9,98,255,1
10,592,237,1
11,163,213,1
12,34,195,1
13,483,189,1
14,455,181,1
15,299,169,1
16,11,149,1
17,291,127,1
18,189,124,1
19,121,104,1
20,398,97,1
21,481,94,1
22,370,74,1
23,487,71,1
24,82,42,1
25,484,36,1
26,623,29,1
27,445,8,1
0,584,463,1
1,605,446,1
2,597,428,1
3,72,418,1
4,418,357,1
5,579,328,1
6,535,309,1
7,78,298,1
8,476,287,1
9,96,251,1
10,592,237,1
11,166,205,1
12,38,191,1
13,481,188,1
14,461,183,1
15,302,178,1
16,10,150,1
17,179,129,1
18,282,126,1
19,124,110,1
20,479,96,1
21,407,92,1
22,479,76,1
23,370,75,1
24,548,51,1
25,82,42,1
26,474,34,1
27,622,29,1
28,82,24,1
29,437,5,1
0,584,463,1
1,605,446,1
2,597,428,1
3,71,417,1
4,464,372,1
5,421,359,1
6,579,328,1
7,541,310,1
8,76,299,1
9,472,285,1
10,96,250,1
11,592,237,1
12,168,200,1
13,39,189,1
14,479,186,1
15,463,184,1
16,303,181,1
17,9,150,1
18,174,131,1
19,277,124,1
20,126,114,1
21,477,99,1
22,410,89,1
23,476,79,1
24,370,75,1
25,83,42,1
26,469,33,1
27,622,29,1
28,86,23,1
29,435,5,1
0,584,463,1
1,606,446,1
2,597,428,1
3,69,415,1
4,464,372,1
5,424,362,1
6,579,331,1
7,547,310,1
8,74,301,1
9,469,282,1
10,95,247,1
11,592,236,1
12,169,195,1
13,40,188,1
14,469,188,1
15,305,185,1
16,8,150,1
17,168,133,1
18,275,124,1
19,127,119,1
20,476,100,1
21,413,87,1
22,472,84,1
23,370,74,1
24,548,51,1
25,83,42,1
26,464,31,1
27,623,29,1
28,86,24,1
29,431,4,1
0,584,462,1
1,606,446,1
2,597,428,1
3,74,414,1
4,387,396,1
5,464,372,1
6,429,365,1
7,579,328,1
8,552,310,1
9,73,301,1
10,466,279,1
11,94,245,1
12,592,236,1
13,170,190,1
14,477,188,1
15,464,184,1
16,42,185,1
17,305,188,1
18,8,150,1
19,164,136,1
20,270,124,1
21,130,123,1
22,475,100,1
23,469,89,1
24,417,85,1
25,370,75,1
26,548,51,1
27,83,41,1
28,459,30,1
29,623,29,1
30,86,25,1
31,428,4,1
0,584,463,1
1,606,446,1
2,597,428,1
3,76,411,1
4,430,368,1
5,580,328,1
6,557,310,1
7,73,302,1
8,463,277,1
9,94,243,1
10,592,237,1
11,307,191,1
12,477,188,1
13,465,185,1
14,172,186,1
15,43,184,1
16,7,150,1
17,159,139,1
18,269,123,1
19,131,127,1
20,474,102,1
21,466,94,1
22,420,83,1
23,370,76,1
24,549,51,1
25,82,41,1
26,622,29,1
27,455,29,1
28,84,26,1
0,584,463,1
1,605,446,1
2,597,428,1
3,76,411,1
4,464,373,1
5,430,369,1
6,580,328,1
7,562,310,1
8,75,302,1
9,459,274,1
10,94,241,1
11,592,237,1
12,307,195,1
13,478,190,1
14,465,184,1
15,45,182,1
16,173,181,1
17,7,150,1
18,155,143,1
19,134,131,1
20,269,123,1
21,469,106,1
22,464,98,1
23,424,81,1
24,370,75,1
25,548,51,1
26,82,41,1
27,623,29,1
28,81,27,1
29,450,27,1
0,584,463,1
1,605,446,1
2,597,428,1
3,387,396,1
4,430,371,1
5,579,330,1
6,568,309,1
7,77,302,1
8,457,272,1
9,94,241,1
10,592,236,1
11,309,198,1
12,478,193,1
13,466,183,1
14,47,179,1
15,175,177,1
16,7,150,1
17,146,140,1
18,266,123,1
19,466,109,1
20,428,79,1
21,370,74,1
22,548,51,1
23,82,42,1
24,623,29,1
25,445,25,1
0,584,463,1
1,597,428,1
2,82,404,1
3,387,396,1
4,429,373,1
5,579,330,1
6,571,309,1
7,79,301,1
8,454,269,1
9,93,240,1
10,592,237,1
11,309,203,1
12,478,194,1
13,467,184,1
14,47,176,1
15,176,173,1
16,7,151,1
17,145,143,1
18,263,123,1
19,464,111,1
20,434,76,1
21,370,75,1
22,82,42,1
23,623,29,1
24,440,24,1
0,584,463,1
1,605,446,1
2,597,428,1
3,83,401,1
4,428,374,1
5,579,331,1
6,572,308,1
7,82,299,1
8,451,265,1
9,92,237,1
10,592,236,1
11,310,208,1
12,472,193,1
13,47,173,1
14,177,169,1
15,135,155,1
16,7,152,1
17,260,123,1
18,463,114,1
19,437,76,1
20,370,75,1
21,548,52,1
22,82,42,1
23,436,22,1
0,584,463,1
1,606,446,1
2,597,428,1
3,388,396,1
4,85,397,1
5,425,376,1
6,579,329,1
7,572,308,1
8,84,300,1
9,449,262,1
10,92,237,1
11,592,236,1
12,310,212,1
13,475,197,1
14,49,170,1
15,177,164,1
16,138,156,1
17,7,152,1
18,258,123,1
19,450,117,1
20,462,115,1
21,441,74,1
22,370,75,1
23,548,51,1
24,623,29,1
25,431,20,1
0,584,463,1
1,605,446,1
2,596,428,1
3,86,393,1
4,426,379,1
5,579,329,1
6,572,308,1
7,85,301,1
8,448,261,1
9,92,237,1
10,592,237,1
11,312,217,1
12,473,192,1
13,51,166,1
14,127,161,1
15,178,160,1
16,150,159,1
17,257,124,1
18,444,123,1
19,458,122,1
20,445,74,1
21,370,75,1
22,548,51,1
23,623,29,1
24,427,18,1
0,489,464,1
1,584,462,1
2,606,446,1
3,597,428,1
4,88,385,1
5,579,329,1
6,574,307,1
7,89,306,1
8,444,256,1
9,90,235,1
10,314,226,1
11,592,237,1
12,155,171,1
13,117,166,1
14,54,156,1
15,179,149,1
16,448,132,1
17,437,131,1
18,251,124,1
19,453,73,1
20,370,75,1
21,548,51,1
22,83,42,1
23,623,29,1
24,418,15,1
0,584,463,1
1,606,446,1
2,597,428,1
3,387,396,1
4,91,380,1
5,579,330,1
6,91,308,1
7,441,253,1
8,90,235,1
9,316,232,1
10,592,237,1
11,157,177,1
12,112,169,1
13,56,151,1
14,179,146,1
15,444,136,1
16,249,124,1
17,454,72,1
18,370,75,1
19,548,51,1
20,82,42,1
21,623,29,1
22,415,13,1
0,584,463,1
1,605,446,1
2,597,428,1
3,92,376,1
4,576,338,1
5,93,310,1
6,440,250,1
7,90,235,1
8,318,236,1
9,592,237,1
10,482,199,1
11,160,183,1
12,107,171,1
13,58,147,1
14,437,143,1
15,178,144,1
16,247,125,1
17,455,72,1
18,370,75,1
19,548,51,1
20,83,42,1
21,622,29,1
22,414,11,1
0,584,462,1
1,606,446,1
2,597,427,1
3,387,396,1
4,423,376,1
5,93,372,1
6,579,331,1
7,95,312,1
8,438,248,1
9,319,240,1
10,90,234,1
11,592,237,1
12,480,205,1
13,163,189,1
14,101,173,1
15,432,144,1
16,61,142,1
17,178,139,1
18,244,126,1
19,370,75,1
20,456,71,1
21,548,51,1
22,83,42,1
23,623,29,1
24,416,11,1
0,584,463,1
1,605,446,1
2,597,428,1
3,387,396,1
4,423,376,1
5,94,368,1
6,579,331,1
7,98,313,1
8,437,245,1
9,320,242,1
10,90,235,1
11,592,237,1
12,481,207,1
13,165,194,1
14,95,176,1
15,428,147,1
16,62,138,1
17,178,135,1
18,239,126,1
19,370,75,1
20,452,70,1
21,548,51,1
22,83,42,1
23,623,29,1
24,420,13,1
0,584,463,1
1,605,446,1
2,597,428,1
3,387,396,1
4,424,375,1
5,464,372,1
6,95,364,1
7,579,329,1
8,99,316,1
9,320,244,1
10,436,242,1
11,90,234,1
12,592,236,1
13,481,206,1
14,168,200,1
15,89,177,1
16,422,151,1
17,66,135,1
18,234,128,1
19,178,132,1
20,370,75,1
21,450,71,1
22,548,51,1
23,82,42,1
24,623,29,1
0,584,463,1
1,605,446,1
2,597,427,1
3,425,376,1
4,464,372,1
5,98,359,1
6,579,331,1
7,101,318,1
8,321,248,1
9,435,240,1
10,90,233,1
11,592,237,1
12,481,207,1
13,171,205,1
14,85,178,1
15,418,152,1
16,227,130,1
17,67,131,1
18,178,130,1
19,370,75,1
20,448,71,1
21,82,42,1
22,623,29,1
0,584,462,1
1,605,446,1
2,597,428,1
3,388,396,1
4,426,371,1
5,99,354,1
6,579,329,1
7,104,320,1
8,322,252,1
9,434,237,1
10,90,232,1
11,592,236,1
12,175,211,1
13,482,209,1
14,81,179,1
15,414,155,1
16,222,131,1
17,178,129,1
18,70,127,1
19,370,75,1
20,447,69,1
21,548,51,1
22,83,41,1
23,623,29,1
24,426,19,1
0,584,463,1
1,606,446,1
2,597,428,1
3,428,368,1
4,101,350,1
5,106,322,1
6,579,329,1
7,323,256,1
8,90,231,1
9,434,233,1
10,592,237,1
11,179,217,1
12,482,208,1
13,78,178,1
14,410,157,1
15,215,133,1
16,179,126,1
17,73,124,1
18,370,75,1
19,445,66,1
20,548,51,1
21,81,42,1
22,622,29,1
23,428,21,1
0,584,463,1
1,596,428,1
2,464,372,1
3,429,365,1
4,104,345,1
5,109,324,1
6,579,329,1
7,324,261,1
8,90,230,1
9,433,228,1
10,183,222,1
11,592,236,1
12,492,215,1
13,479,209,1
14,76,178,1
15,407,160,1
16,211,135,1
17,180,123,1
18,75,121,1
19,370,75,1
20,442,62,1
21,548,51,1
22,82,42,1
23,623,29,1
24,432,23,1
0,584,463,1
1,605,446,1
2,597,428,1
3,387,396,1
4,464,372,1
5,433,359,1
6,108,333,1
7,579,329,1
8,324,265,1
9,90,229,1
10,187,228,1
11,433,224,1
12,592,236,1
13,493,218,1
14,481,213,1
15,71,178,1
16,402,164,1
17,206,136,1
18,78,119,1
19,183,119,1
20,370,75,1
21,438,59,1
22,548,51,1
23,623,29,1
24,434,24,1
0,584,463,1
1,605,446,1
2,597,428,1
3,438,351,1
4,579,329,1
5,325,273,1
6,194,239,1
7,89,225,1
8,496,225,1
9,592,237,1
10,481,214,1
11,434,214,1
12,61,175,1
13,396,170,1
14,196,140,1
15,84,114,1
16,186,113,1
17,370,75,1
18,41,63,1
19,431,55,1
20,548,51,1
21,623,29,1
22,441,27,1
0,471,472,1
1,584,463,1
