0	
1	Frame	Time	Event	Trial
2	10354	start	0
274	20355	CS on	0
328	22355	US on	0
383	24355	CS off	0
383	24355	US off	0
651	34356	CS on	1
705	36356	US on	1
760	38356	CS off	1
760	38356	US off	1
1032	48357	CS on	2
1087	50357	US on	2
1142	52357	CS off	2
1142	52357	US off	2
1414	62358	CS on	3
1469	64358	US on	3
1524	66358	CS off	3
1524	66358	US off	3
1798	76359	CS on	4
1852	78359	US on	4
1908	80359	CS off	4
1908	80359	US off	4
2181	90360	CS on	5
2236	92360	US on	5
2292	94360	CS off	5
2292	94360	US off	5
2567	104361	CS on	6
2622	106361	US on	6
2678	108361	CS off	6
2678	108361	US off	6
2954	118362	CS on	7
3009	120363	US on	7
3065	122362	CS off	7
3065	122362	US off	7
3340	132363	CS on	8
3395	134363	US on	8
3450	136363	CS off	8
3450	136363	US off	8
3725	146364	CS on	9
3779	148364	US on	9
3835	150364	CS off	9
3835	150364	US off	9
