0,0,584,463
0,1,606,446
0,2,597,428
0,3,80,424
0,4,386,333
0,5,579,328
0,6,325,311
0,7,418,310
0,8,544,297
0,9,150,297
0,10,113,285
0,11,103,259
0,12,592,235
0,13,399,169
0,14,389,152
0,15,6,156
0,16,38,143
0,17,381,134
0,18,264,99
0,19,101,89
0,20,367,89
0,21,502,91
0,22,500,75
0,23,284,75
0,24,83,42
0,25,497,13
1,0,584,463
1,1,605,446
1,2,597,428
1,3,381,337
1,4,579,328
1,5,328,313
1,6,422,309
1,7,541,298
1,8,150,293
1,9,111,284
1,10,101,262
1,11,592,237
1,12,408,170
1,13,392,154
1,14,37,144
1,15,7,150
1,16,376,134
1,17,266,103
1,18,367,92
1,19,101,89
1,20,280,80
1,21,508,85
1,22,370,73
1,23,83,42
1,24,623,29
1,25,494,14
2,0,584,463
2,1,605,446
2,2,596,428
2,3,376,341
2,4,579,328
2,5,333,314
2,6,428,309
2,7,538,299
2,8,150,290
2,9,105,273
2,10,592,236
2,11,413,171
2,12,396,156
2,13,35,144
2,14,10,144
2,15,372,134
2,16,268,107
2,17,364,93
2,18,101,89
2,19,276,83
2,20,510,84
2,21,83,42
2,22,622,29
2,23,492,14
3,0,584,463
3,1,605,446
3,2,597,428
3,3,370,342
3,4,579,331
3,5,336,314
3,6,433,308
3,7,535,301
3,8,150,286
3,9,109,281
3,10,101,266
3,11,592,236
3,12,418,173
3,13,399,158
3,14,33,144
3,15,369,134
3,16,15,134
3,17,270,112
3,18,364,94
3,19,102,90
3,20,272,86
3,21,509,82
3,22,83,42
3,23,622,29
3,24,490,14
4,0,584,463
4,1,605,446
4,2,597,428
4,3,72,419
4,4,366,344
4,5,579,328
4,6,340,315
4,7,438,308
4,8,532,301
4,9,150,281
4,10,105,274
4,11,592,236
4,12,425,174
4,13,404,160
4,14,31,144
4,15,363,134
4,16,18,127
4,17,272,117
4,18,363,94
4,19,267,89
4,20,103,90
4,21,498,87
4,22,513,73
4,23,83,42
4,24,622,29
4,25,488,15
5,0,584,463
5,1,605,446
5,2,597,428
5,3,361,346
5,4,579,328
5,5,345,317
5,6,443,309
5,7,529,302
5,8,151,276
5,9,102,276
5,10,592,237
5,11,432,175
5,12,411,162
5,13,30,145
5,14,358,133
5,15,20,121
5,16,274,121
5,17,363,96
5,18,262,92
5,19,104,90
5,20,495,88
5,21,513,73
5,22,623,29
5,23,485,16
6,0,584,463
6,1,605,446
6,2,597,428
6,3,348,350
6,4,356,321
6,5,579,328
6,6,455,309
6,7,520,302
6,8,94,279
6,9,107,279
6,10,152,268
6,11,592,236
6,12,444,178
6,13,418,165
6,14,28,145
6,15,349,132
6,16,279,129
6,17,363,103
6,18,29,105
6,19,252,98
6,20,105,91
6,21,489,87
6,22,513,72
6,23,370,74
6,24,83,42
6,25,622,29
6,26,479,16
7,0,584,463
7,1,605,446
7,2,597,428
7,3,343,351
7,4,361,322
7,5,579,328
7,6,461,309
7,7,518,301
7,8,93,281
7,9,107,277
7,10,153,263
7,11,592,236
7,12,450,179
7,13,419,165
7,14,27,146
7,15,345,132
7,16,281,134
7,17,246,100
7,18,363,103
7,19,32,100
7,20,107,91
7,21,485,86
7,22,370,75
7,23,513,71
7,24,83,42
7,25,623,29
7,26,476,16
8,0,584,463
8,1,605,446
8,2,597,428
8,3,64,417
8,4,338,352
8,5,367,326
8,6,579,328
8,7,466,309
8,8,515,301
8,9,90,284
8,10,106,276
8,11,153,259
8,12,592,237
8,13,455,180
8,14,420,165
8,15,27,146
8,16,284,139
8,17,339,131
8,18,241,103
8,19,365,104
8,20,109,92
8,21,483,86
8,22,37,90
8,23,370,74
8,24,512,70
8,25,83,42
8,26,528,39
8,27,622,29
8,28,473,16
9,0,584,463
9,1,605,446
9,2,597,428
9,3,334,354
9,4,372,328
9,5,579,330
9,6,472,309
9,7,513,301
9,8,88,287
9,9,105,274
9,10,153,255
9,11,592,236
9,12,6,216
9,13,463,182
9,14,422,166
9,15,27,146
9,16,287,144
9,17,335,131
9,18,239,105
9,19,369,105
9,20,110,93
9,21,482,87
9,22,41,83
9,23,370,74
9,24,508,71
9,25,82,42
9,26,524,39
9,27,623,29
9,28,470,16
10,0,584,463
10,1,605,446
10,2,597,428
10,3,333,356
10,4,378,330
10,5,579,330
10,6,478,308
10,7,510,300
10,8,86,290
10,9,105,272
10,10,155,250
10,11,592,236
10,12,9,213
10,13,468,183
10,14,423,165
10,15,24,146
10,16,289,148
10,17,330,130
10,18,233,107
10,19,371,105
10,20,111,93
10,21,481,88
10,22,370,74
10,23,45,74
10,24,507,68
10,25,520,39
10,26,623,29
10,27,468,16
11,0,584,463
11,1,598,428
11,2,60,416
11,3,331,358
11,4,383,333
11,5,579,327
11,6,483,307
11,7,507,300
11,8,83,292
11,9,103,268
11,10,155,244
11,11,592,236
11,12,11,212
11,13,474,184
11,14,427,166
11,15,21,147
11,16,291,151
11,17,323,130
11,18,226,111
11,19,374,106
11,20,112,95
11,21,481,89
11,22,370,74
11,23,505,68
11,24,46,68
11,25,516,38
11,26,623,29
11,27,465,16
12,0,583,462
12,1,605,446
12,2,597,428
12,3,58,417
12,4,329,361
12,5,388,337
12,6,579,330
12,7,496,302
12,8,83,293
12,9,103,267
12,10,156,241
12,11,592,236
12,12,13,211
12,13,479,185
12,14,430,168
12,15,17,148
12,16,293,154
12,17,318,129
12,18,222,113
12,19,377,106
12,20,114,96
12,21,481,90
12,22,504,67
12,23,49,60
12,24,511,38
12,25,623,29
12,26,462,15
13,0,584,463
13,1,605,446
13,2,597,428
13,3,60,418
13,4,328,362
13,5,392,338
13,6,579,328
13,7,496,301
13,8,83,294
13,9,102,266
13,10,156,237
13,11,592,237
13,12,18,207
13,13,481,185
13,14,435,170
13,15,294,156
13,16,15,148
13,17,313,129
13,18,215,115
13,19,380,104
13,20,116,99
13,21,370,74
13,22,504,70
13,23,50,56
13,24,82,42
13,25,507,38
13,26,460,13
14,0,584,463
14,1,605,446
14,2,597,428
14,3,62,420
14,4,327,365
14,5,398,342
14,6,579,328
14,7,500,300
14,8,82,295
14,9,101,265
14,10,157,231
14,11,592,237
14,12,21,205
14,13,482,185
14,14,439,172
14,15,296,158
14,16,14,148
14,17,308,129
14,18,209,118
14,19,383,104
14,20,117,100
14,21,480,92
14,22,370,75
14,23,501,70
14,24,82,42
14,25,501,37
14,26,623,29
14,27,458,12
15,0,584,462
15,1,606,446
15,2,597,428
15,3,326,367
15,4,402,345
15,5,579,330
15,6,509,306
15,7,81,295
15,8,491,294
15,9,101,263
15,10,159,226
15,11,592,237
15,12,24,203
15,13,482,185
15,14,444,173
15,15,296,160
15,16,13,148
15,17,303,128
15,18,205,119
15,19,387,102
15,20,118,100
15,21,480,92
15,22,370,75
15,23,499,69
15,24,82,42
15,25,497,36
15,26,622,30
15,27,455,12
16,0,584,463
16,1,597,428
16,2,326,369
16,3,406,347
16,4,579,328
16,5,514,307
16,6,81,295
16,7,488,294
16,8,99,259
16,9,159,222
16,10,592,236
16,11,27,201
16,12,482,186
16,13,447,176
16,14,297,163
16,15,13,148
16,16,299,128
16,17,199,121
16,18,391,100
16,19,118,101
16,20,481,93
